Variable;Libelle;Type;Format;LibelleDet;RefModa
REG_DES;D_Reg;c;$29.;Région d'arrivée du déplacement;
oldREG_DES;D_RegAnc;c;$29.;Ancienne région arrivée du déplacement;
PAYS_DES;D_Pays;f;$255.;Pays de destination;
MDESHARR;D_Hr;c;TIME8.;Heure d'arrivée à destination;
DUREE;Duree;d;BEST12.;Durée du dplct;
DURACT;Duree_Act;d;BEST12.;Durée de l'activite suiv. le dplct;
MMOY1S;Mode_1;f;$4.;1er moyen de transport utilisé;moyen de transport
MMOY2S;Mode_2;f;$4.;2ème moyen de transport;moyen de transport
MMOY3S;Mode_3;f;$4.;3ème moyen de transport;moyen de transport
MMOY4S;Mode_4;f;$4.;4ème moyen de transport;moyen de transport
MOYS;Mode_Concat;c;$15.;Tous moyens utilises;
mtp;ModeP;f;$4.;Mode de transp. princ. du dplct;moyen de transport
MNBMOD;Mode_nModes;i;BEST12.;Nombre de modes de transport utilisés;
MNBMODCOND;Mode_nModesCond;i;BEST12.;Nombre de modes 'conducteur' utilisés;
MDISTTOT_decl;Dis_Decl;d;BEST12.;Distance parcourue déclarée au cours du déplacement;
dVO_ORIDES;DisV;d;BEST12.;Distance vol d'oiseau comm depart et arrivee;
MDISTTOT_fin;Dis;d;;Distance parcourue consolidée/finale au cours du déplacement;
indic_dist_corr;Dis_Corr;f;;La distance a été corrigé;1 : Oui / 0 : Non
MTPSATTENT;Duree_Tsp;d;BEST12.;Temps d'attente total des transports en commun;
MTEMPSMAP;Duree_Mch;d;BEST12.;Temps de marche au cours du déplacement;
MTCCOND;AssisTC;f;$1.;Place assise pendant trajet en transport en commun;Place assise
MTITR1S;TitreTC_1;f;$3.;Titre de transport utilisé pendant le trajet en TC (1er mode);Titre de transport
MTITR2S;TitreTC_2;f;$3.;Titre de transport utilisé pendant le trajet en TC (2e mode);Titre de transport
MTITR3S;TitreTC_3;f;$3.;Titre de transport utilisé pendant le trajet en TC (3e mode);Titre de transport
MTITR4S;TitreTC_4;f;$3.;Titre de transport utilisé pendant le trajet en TC (4e mode);Titre de transport
MVEH;id_VEH;c;$3.;Véhicule utilisé;
